,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth
0,BBC,4,2022,6.0,0.8,7.5,,0.157,0.106,51,43,51,15.4,10083,72122,,,,,,0.731,,,2.7,1.9,1.6,0.117,10863.0,0.322,0.054,0.056,0.1,0.1,0.4,,1.4,414,0.113,0.134,43,7.2,-0.06,0.9,0.9,0.054,1.1,,,,,,,,,0.4,,0.648,0.029,
1,BBC,3,2022,6.7,0.9,11.3,,0.144,0.104,61,41,34,4.9,9024,70108,,,,,,0.69,,,2.2,1.3,1.0,0.177,6592.0,0.325,0.053,0.055,0.2,0.2,1.3,,1.4,166,0.043,0.054,69,6.0,0.252,0.9,0.8,0.053,1.3,,,,,,,,,0.4,,0.315,-0.003,
2,BBC,2,2022,10.4,1.1,12.7,,0.119,0.091,104,41,30,-8.0,7670,70317,,,,,,0.743,,,2.9,1.3,1.1,-0.004,5014.0,0.219,,,0.2,0.1,1.4,,1.3,155,0.133,0.173,114,3.5,-0.039,0.7,,,0.2,,,,,,,,,0.3,,-0.043,-0.017,
3,BBC,1,2022,9.6,1.0,12.0,,0.118,0.089,117,40,46,-139.0,7704,71537,,,,,,0.749,,,3.0,1.8,1.6,6.04,5241.0,0.255,,0.436,0.0,0.0,0.8,,1.3,364,0.155,0.161,110,3.1,-0.07,0.7,0.8,,-79.7,,,,,,,,,0.3,,-0.147,0.269,
4,BBC,4,2021,56.8,1.1,11.8,,0.019,0.013,53,68,35,18.8,1094,56381,,,,,,0.619,,,1.6,1.1,0.8,-0.454,6141.0,0.312,0.033,0.04,0.0,0.0,0.2,0.7,1.6,36,0.168,0.141,86,6.9,-0.039,0.7,0.8,0.033,1.5,,,,,,,,,0.6,,-0.095,0.019,
5,BBC,3,2021,31.2,1.1,10.8,,0.036,0.026,82,43,40,,2002,55339,,,,,,0.767,,,3.3,2.0,1.7,-0.255,6783.0,0.228,,,0.0,0.0,1.0,,1.3,298,0.134,0.11,84,4.5,-0.367,0.8,,,0.6,,,,,,,,,0.3,,-0.133,-0.054,
6,BBC,2,2021,23.4,1.1,6.2,,0.047,0.036,90,35,25,-7.2,2686,58501,,,,,,0.787,,,3.7,2.7,2.5,-0.496,7825.0,0.252,,,0.0,0.0,0.8,,1.3,481,0.257,0.273,100,4.1,-0.058,1.0,,,-0.1,,,,,,,,,0.3,,0.037,-0.006,
7,BBC,1,2021,10.8,1.0,8.0,,0.095,0.072,84,36,38,2.5,5327,58828,,,,,,0.753,,,3.0,1.9,1.7,0.068,7544.0,0.302,0.016,0.022,0.1,0.1,0.6,,1.3,313,0.142,0.167,83,4.4,-0.014,1.0,0.8,0.016,1.7,,,,,,,,,0.3,,0.167,0.01,
8,BBC,4,2020,13.9,1.2,9.2,,0.089,0.063,84,51,48,20.5,4988,58271,,,,,,0.767,,,3.3,1.9,1.5,-0.149,6464.0,0.335,0.076,0.066,0.0,0.0,0.0,,1.3,283,0.122,0.133,87,4.3,-0.014,0.8,0.9,0.076,1.0,,,,,,,,,0.3,,-0.098,0.033,
9,BBC,3,2020,8.2,0.9,7.4,,0.109,0.077,74,52,50,3.8,5859,56416,,,,,,0.7,,,2.3,1.5,1.2,-0.089,7167.0,0.287,0.027,0.027,0.2,0.1,0.9,,1.4,227,0.267,0.312,76,4.9,-0.272,0.9,0.6,0.027,1.7,,,,,,,,,0.4,,-0.038,0.009,
10,BBC,2,2020,7.4,0.9,7.0,,0.122,0.094,82,44,30,-19.1,6430,55908,,,,,,0.732,,,2.7,1.5,1.2,0.428,7452.0,0.181,,0.282,0.2,0.1,0.8,,1.4,201,0.148,0.201,96,4.4,-0.772,1.1,0.8,,-3.1,,,,,,,,,0.4,,-0.043,0.043,
11,BBC,1,2020,9.6,0.8,4.5,,0.087,0.069,98,45,31,,4503,53591,,,,,,0.768,,,3.3,2.1,1.7,-0.27,7787.0,0.253,,0.005,0.0,0.0,0.0,,1.3,319,0.189,0.259,112,3.7,-1.365,1.2,0.3,,-1.0,,,,,,,,,0.3,,-0.092,-0.176,
12,BBC,4,2019,9.4,0.9,3.3,,0.099,0.068,30,39,66,,6173,65061,,,,,,0.647,,,1.8,1.6,1.3,-0.114,8577.0,0.321,0.096,0.084,0.0,0.0,0.0,,1.5,294,0.427,0.629,3,12.2,-1.34,1.1,1.3,0.096,1.1,,,,,,,,,0.5,,-0.103,0.053,
13,BBC,3,2019,9.0,1.0,4.4,,0.119,0.088,25,48,42,,6968,61759,,,,,,0.715,,,2.5,1.9,1.5,-0.011,9561.0,0.36,0.057,0.052,0.0,0.0,0.0,,1.4,317,0.26,0.278,32,14.4,-1.42,1.2,1.3,0.057,1.2,,,,,,,,,0.4,,0.015,0.021,
14,BBC,2,2019,9.6,1.1,5.2,,0.123,0.099,19,41,32,,7046,60462,,,,,,0.817,,,4.5,3.2,2.6,0.04,9419.0,0.297,0.024,0.058,0.0,0.0,0.0,,1.2,418,0.239,0.23,28,19.5,-0.549,1.3,1.2,0.024,2.9,,,,,,,,,0.2,,0.012,0.003,
15,BBC,1,2019,9.3,1.0,5.6,,0.118,0.096,20,37,26,,6775,60269,,,,,,0.82,,,4.6,3.4,2.8,-0.054,9309.0,0.287,0.023,0.04,0.0,0.0,0.0,,1.2,440,0.255,0.227,31,18.6,-0.636,1.3,1.2,0.023,2.0,,,,,,,,,0.2,,-0.044,0.014,
16,BBC,4,2018,9.7,1.2,4.8,,0.128,0.092,33,38,45,,7166,59466,,,,,,0.732,,,2.7,2.3,2.0,0.208,9734.0,0.309,0.129,0.112,0.0,0.0,0.0,,1.4,426,0.327,0.299,26,11.0,-0.571,1.2,1.2,0.129,1.1,,,,,,,,,0.4,,0.23,0.07,
17,BBC,3,2018,13.4,1.4,5.9,,0.111,0.085,29,42,34,,5932,55579,,,,,,0.772,,,3.4,3.0,2.5,-0.059,7912.0,0.321,0.056,0.06,0.0,0.0,0.0,,1.3,467,0.324,0.277,37,12.7,-0.134,1.3,1.2,0.056,1.3,,,,,,,,,0.3,,-0.071,0.024,
18,BBC,2,2018,12.8,1.5,8.8,,0.122,0.097,17,40,27,,6304,54271,,,,,,0.793,,,3.8,3.9,3.4,0.004,8513.0,0.249,0.0,0.038,0.0,0.0,0.0,,1.3,575,0.455,0.341,29,22.1,-0.186,1.4,1.1,0.0,-408.8,,,,,,,,,0.3,,-0.004,0.002,
19,BBC,1,2018,13.2,1.5,5.6,,0.121,0.096,17,37,28,,6280,54150,,,,,,0.794,,,3.9,3.9,3.4,0.0,8545.0,0.3,0.045,0.06,0.0,0.0,0.0,,1.3,561,0.464,0.344,27,21.1,-0.084,1.3,1.2,0.045,1.6,,,,,,,,,0.3,,-0.009,0.023,
20,BBC,4,2017,14.1,1.7,6.2,,0.123,0.088,33,43,40,,6279,52909,,,,,,0.716,,,2.5,2.8,2.4,0.187,8626.0,0.337,0.091,0.087,0.0,0.0,0.0,,1.4,535,0.263,0.185,35,11.2,-0.426,1.2,1.2,0.091,1.2,,,,,,,,,0.4,,0.099,0.034,
21,BBC,3,2017,21.5,2.2,8.4,,0.108,0.083,26,45,33,,5292,51176,,,,,,0.753,,,3.0,3.1,2.7,-0.003,7849.0,0.336,0.082,0.08,0.0,0.0,0.0,,1.3,509,0.424,0.247,39,13.8,-0.457,1.3,1.2,0.082,1.2,,,,,,,,,0.3,,-0.028,0.034,
22,BBC,2,2017,19.6,2.1,11.4,,0.111,0.089,14,38,21,,5306,49475,,,,,,0.807,,,4.2,4.0,3.4,-0.002,8075.0,0.256,0.017,0.036,0.0,0.0,0.0,,1.2,474,0.383,0.171,31,25.8,-0.414,1.4,1.2,0.017,2.6,,,,,,,,,0.2,,-0.014,-0.009,
23,BBC,1,2017,21.8,2.3,10.5,,0.111,0.087,14,38,29,,5315,49937,,,,,,0.791,,,3.8,3.7,3.1,0.002,8186.0,0.3,0.066,0.076,0.0,0.0,0.0,,1.3,487,0.384,0.182,23,25.5,-0.414,1.4,1.2,0.066,1.4,,,,,,,,,0.3,,-0.017,0.023,
24,BBC,4,2016,17.3,1.9,11.1,,0.112,0.079,24,40,35,,5307,48814,,,,,,0.709,,,2.4,2.8,2.5,-0.121,8332.0,0.369,0.062,0.054,0.0,0.0,0.0,,1.4,522,0.184,0.078,29,14.9,-0.037,1.3,1.2,0.062,1.0,,,,,,,,,0.4,,-0.139,0.04,
25,BBC,3,2016,13.4,1.7,7.9,,0.134,0.102,25,50,30,,6041,46925,,,,,,0.787,,,3.7,3.7,3.1,0.166,9679.0,0.361,0.095,0.083,0.0,0.0,0.0,,1.3,486,0.4,0.198,45,14.6,-0.038,1.3,1.2,0.095,1.1,,,,,,,,,0.3,,0.106,0.025,
26,BBC,2,2016,13.4,1.5,7.8,,0.118,0.092,15,44,23,,5182,45798,,,,,,0.792,,,3.8,3.8,3.2,0.041,8748.0,0.294,0.03,0.044,0.0,0.0,0.0,,1.3,461,0.379,0.203,37,23.7,-0.022,1.3,1.2,0.03,1.7,,,,,,,,,0.3,,-0.05,0.005,
27,BBC,1,2016,13.3,1.5,6.8,,0.113,0.087,14,40,26,,4978,45556,,,,,,0.769,,,3.3,3.3,2.9,-0.046,9210.0,0.305,0.072,0.072,0.0,0.0,0.0,,1.3,448,0.381,0.243,28,25.8,-0.019,1.3,1.2,0.072,1.2,,,,,,,,,0.3,,0.011,-0.002,
28,BBC,4,2015,10.2,1.2,5.8,,0.12,0.085,21,43,34,,5220,45667,,,,,,0.7,,,2.3,2.6,2.3,0.349,9106.0,0.408,0.102,0.087,0.0,0.0,0.0,,1.4,442,0.478,0.312,30,17.2,-0.015,1.2,1.3,0.102,1.1,,,,,,,,,0.4,,0.065,0.062,
29,BBC,3,2015,14.1,1.3,5.9,,0.093,0.069,20,56,32,2500.2,3869,43006,,,,,,0.734,,,2.8,2.7,2.3,-0.068,8547.0,0.385,0.062,0.05,0.0,0.0,0.0,,1.4,387,0.428,0.269,44,17.8,-0.004,1.3,1.6,0.062,1.3,,,,,,,,,0.4,,-0.021,0.027,
30,BBC,2,2015,14.3,1.4,4.7,,0.102,0.079,12,45,27,-489.7,4149,41878,,,,,,0.76,,,3.2,2.9,2.4,-0.043,8735.0,0.333,0.036,0.026,0.0,0.0,0.0,,1.3,360,0.348,0.262,30,30.5,-0.023,1.4,1.6,0.036,1.1,,,,,,,,,0.3,,0.05,-0.024,
31,BBC,1,2015,12.2,1.2,5.4,,0.106,0.084,11,39,24,1732.8,4336,42889,,,,,,0.779,,,3.5,3.1,2.6,0.176,8316.0,0.344,0.088,0.086,0.0,0.0,0.0,,1.3,366,0.424,0.289,26,34.7,-0.02,1.4,1.2,0.088,1.2,,,,,,,,,0.3,,0.038,0.033,
32,BBC,4,2014,,,5.6,,0.092,0.067,17,43,33,,3687,41502,,,,,,0.714,,,2.5,2.4,2.0,-0.144,8010.0,0.372,0.108,0.048,0.0,0.0,0.0,,1.4,332,0.394,0.266,27,21.2,-0.019,1.3,1.5,0.108,0.7,,,,,,,,,0.4,,0.11,0.031,
33,BBC,3,2014,,,6.5,,0.109,0.084,13,58,33,,4306,40237,,,,,,0.757,,,3.1,2.5,1.9,0.12,7217.0,0.356,0.073,0.064,0.0,0.0,0.0,,1.3,292,0.292,0.204,38,29.0,-0.018,1.4,1.3,0.073,1.1,,,,,,,,,0.3,,0.043,0.011,
34,BBC,2,2014,,,6.6,,0.099,0.081,7,47,25,,3844,39801,,,,,,0.799,,,4.0,2.8,2.2,0.14,6917.0,0.304,0.032,0.036,0.0,0.0,0.0,,1.3,280,0.271,0.193,29,49.9,-0.001,1.5,1.3,0.032,1.5,,,,,,,,,0.3,,0.051,0.013,
35,BBC,1,2014,,,5.0,,0.087,0.071,7,48,26,,3371,39273,,,,,,0.805,,,4.1,2.8,2.3,0.157,6584.0,0.332,0.05,0.051,0.0,0.0,0.0,,1.2,260,0.261,0.239,30,52.3,-0.007,1.5,1.2,0.05,1.2,,,,,,,,,0.2,,0.07,0.019,
36,BBC,4,2013,,,4.2,,0.077,0.057,16,53,40,299.6,2914,38550,,,,,,0.738,,,2.8,2.1,1.7,0.345,6156.0,0.353,0.089,0.074,0.0,0.0,0.0,,1.4,239,0.28,0.339,29,22.8,-0.02,1.3,1.3,0.089,1.0,,,,,,,,,0.4,,0.069,0.0,
37,BBC,3,2013,,,5.0,,0.058,0.044,16,68,44,648.2,2167,38542,,,,,,0.774,,,3.4,2.3,1.7,-0.099,5761.0,0.323,0.053,0.04,0.0,0.0,0.1,,1.3,229,0.16,0.193,39,23.5,-0.06,1.3,1.3,0.053,1.0,,,,,,,,,0.3,,0.041,0.018,
38,BBC,2,2013,,,4.2,,0.066,0.052,8,65,43,434.3,2405,37845,,,,,,0.832,,,5.0,2.8,1.9,0.293,5535.0,0.261,0.006,0.001,0.0,0.0,0.0,,1.2,208,0.08,0.119,30,47.4,-0.087,1.3,6.9,0.006,1.1,,,,,,,,,0.2,,0.152,0.0,
39,BBC,1,2013,,,3.4,,0.05,0.039,9,65,40,202.1,1860,37836,,,,,,0.826,,,4.7,2.7,1.8,0.102,4803.0,0.276,0.021,0.02,0.0,0.0,0.0,,1.2,202,0.064,0.123,35,40.8,-0.096,1.3,1.2,0.021,1.2,,,,,,,,,0.2,,0.085,0.007,
40,BBC,4,2012,,,4.5,,0.045,0.034,22,66,48,64.6,1687,37559,,,,,,0.754,,,3.1,2.0,1.3,-0.151,4425.0,0.323,0.073,0.057,0.0,0.0,0.0,,1.3,184,0.085,0.161,40,16.5,-0.178,1.2,1.2,0.073,1.0,,,,,,,,,0.3,,0.008,0.031,
41,BBC,3,2012,,,3.5,,0.055,0.04,18,79,54,156.7,1988,36415,,,,,,0.738,,,2.8,1.9,1.2,0.109,4389.0,0.308,0.055,0.059,0.0,0.0,0.4,,1.4,173,0.026,0.06,43,20.6,-0.402,1.3,1.1,0.055,1.2,,,,,,,,,0.4,,0.065,0.026,
42,BBC,2,2012,,,4.7,,0.051,0.039,8,70,42,,1792,35478,,,,,,0.756,,,3.1,1.9,1.2,-0.333,4121.0,0.194,-0.058,-0.048,0.0,0.0,0.4,,1.3,162,0.013,0.022,36,44.5,-0.394,1.4,1.0,-0.058,0.8,,,,,,,,,0.3,,-0.221,-0.014,
43,BBC,1,2012,,,3.8,,0.075,0.056,12,71,46,14.3,2686,35985,,,,,,0.735,,,2.8,2.0,1.3,-0.114,5290.0,0.28,0.002,0.009,0.0,0.0,0.3,,1.4,201,0.032,0.048,37,30.6,-0.382,1.3,1.3,0.002,5.9,,,,,,,,,0.4,,-0.021,-0.033,
44,BBC,4,2011,,,1.5,,0.084,0.062,24,61,48,24.2,3033,37218,,,,,,0.763,,,3.2,1.7,1.0,-0.085,5403.0,0.3,0.087,0.063,0.0,0.0,0.4,,1.3,118,0.105,0.333,37,14.9,-0.261,1.3,1.2,0.087,0.8,,,,,,,,,0.3,,-0.257,0.041,
45,BBC,3,2011,,,1.1,,0.095,0.068,15,74,48,6.0,3315,35753,,,,,,0.716,,,2.5,1.9,1.0,0.026,7268.0,0.33,0.045,0.046,0.1,0.0,0.5,0.5,1.4,167,0.157,0.493,41,24.4,-0.246,1.3,1.2,0.045,1.2,,,,,,,,,0.4,,-0.131,0.021,
46,BBC,2,2011,,,1.2,,0.095,0.072,9,64,39,3.1,3232,35032,,,,,,0.79,,,3.8,2.3,1.2,0.227,8365.0,0.276,0.028,0.031,0.1,0.1,0.5,0.8,1.3,153,0.17,0.519,33,41.9,-0.429,1.3,1.2,0.028,1.3,,,,,,,,,0.3,,0.072,-0.022,
47,BBC,1,2011,,,1.6,,0.075,0.057,12,63,37,2.7,2634,35810,,,,,,0.763,,,3.2,2.1,1.2,-0.025,7806.0,0.237,0.024,0.034,0.1,0.1,0.5,1.2,1.3,157,0.145,0.354,38,29.9,-0.626,1.2,1.2,0.024,1.6,,,,,,,,,0.3,,0.039,0.013,
48,BBC,4,2010,,,2.5,,0.078,0.056,24,59,50,16.8,2701,35352,,,,,,0.718,,,2.6,1.8,1.2,0.084,7514.0,0.294,0.098,0.088,0.1,0.1,0.7,1.5,1.4,150,0.163,0.276,33,15.4,-0.775,1.1,1.1,0.098,1.0,,,,,,,,,0.4,,0.675,0.048,
49,BBC,3,2010,,,4.7,,0.075,0.056,18,64,41,5.1,2492,33717,,,,,,0.711,,,2.5,1.9,1.2,-0.067,4486.0,0.294,0.044,0.049,0.1,0.1,1.0,0.3,1.4,138,0.167,0.269,41,20.2,-0.669,1.0,1.0,0.044,1.2,,,,,,,,,0.4,,0.604,0.024,
50,BBC,2,2010,,,9.3,,0.082,0.064,10,65,49,-4.5,2671,32932,,,,,,0.723,,,2.6,1.9,1.2,-0.255,2796.0,0.19,-0.056,-0.03,0.1,0.1,1.0,0.4,1.4,118,0.141,0.151,26,37.3,-0.412,1.0,1.2,-0.056,0.6,,,,,,,,,0.4,,0.068,-0.038,
51,BBC,1,2010,,,9.3,,0.109,0.087,11,61,43,2.5,3584,34249,,,,,,0.747,,,2.9,2.4,1.7,-0.039,2618.0,0.228,0.014,0.057,0.2,0.1,1.1,0.5,1.3,166,0.298,0.347,30,32.8,-0.214,1.0,1.1,0.014,4.5,,,,,,,,,0.3,,-0.271,0.005,
52,BBC,4,2009,,,8.8,,0.113,0.084,39,64,32,37.6,3731,34091,,,,,,0.712,,,2.5,2.6,2.1,0.148,3591.0,0.3,0.082,0.103,0.2,0.1,2.0,0.2,1.4,212,0.091,0.105,71,9.4,-0.017,0.9,1.1,0.082,1.4,,,,,,,,,0.4,,0.301,0.046,
53,BBC,3,2009,,,13.0,,0.102,0.079,24,76,45,17.8,3250,32577,,,,,,0.779,,,3.5,4.3,3.4,0.049,2759.0,0.318,0.06,0.083,0.1,0.1,1.5,0.4,1.3,303,0.066,0.06,55,15.0,-0.023,0.9,1.2,0.06,1.6,,,,,,,,,0.3,,0.041,0.008,
54,BBC,2,2009,,,11.7,,0.099,0.083,11,73,44,16.1,3098,32311,,,,,,0.866,,,6.5,4.4,3.4,0.845,2651.0,0.284,0.052,0.088,0.0,0.0,0.6,,1.2,258,0.032,0.033,41,32.6,-0.023,1.0,1.1,0.052,1.8,,,,,,,,,0.2,,0.134,0.018,
55,BBC,1,2009,,,9.0,,0.053,0.044,12,71,47,31.1,1679,31732,,,,,,0.862,,,6.2,4.8,3.9,0.186,2338.0,0.283,0.079,0.086,0.0,0.0,0.7,,1.2,291,0.015,0.022,35,31.2,-0.028,0.9,1.2,0.079,1.3,,,,,,,,,0.2,,,-0.012,
56,BBC,4,2008,,,,,0.062,0.043,42,75,31,4.0,1416,32128,,,,,,0.788,,,3.7,3.5,2.7,0.75,,0.213,0.035,0.096,0.2,0.2,,,1.3,296,0.062,,85,8.7,,1.1,0.9,0.035,2.4,,,,,,,,,0.3,,,0.026,
57,BBC,3,2008,,,,,0.036,0.026,25,74,49,1.6,809,31308,,,,,,0.768,,,3.3,3.1,2.4,0.663,,0.249,0.055,0.075,0.1,0.1,,4.1,1.3,284,0.041,,50,14.7,,1.1,1.1,0.055,1.6,,,,,,,,,0.3,,,0.031,
58,BBC,2,2008,,,,,0.023,0.018,12,69,38,0.6,486,30378,,,,,,0.82,,,4.6,4.0,3.0,-0.659,,0.227,0.013,-0.115,0.1,0.1,,2.1,1.2,268,0.013,,43,31.4,,1.2,1.0,0.013,-9.0,,,,,,,,,0.2,,,-0.039,
59,BBC,1,2008,,,,,0.066,0.052,12,69,40,9.1,1428,31616,,,,,,0.809,,,4.2,4.0,3.2,-0.12,,0.216,0.035,0.048,0.1,0.1,,2.3,1.2,298,0.018,,41,31.2,,1.2,1.3,0.035,1.8,,,,,,,,,0.2,,,1.355,
60,BBC,4,2007,,,,,0.132,0.081,20,82,58,3.6,1623,13423,,,,,,0.546,,,1.2,1.3,0.7,-0.111,,0.232,0.034,0.041,0.3,0.1,,69.9,1.8,38,0.215,,44,18.2,,1.5,1.4,0.034,1.7,,,,,,,,,0.8,,,0.027,
61,BBC,3,2007,,,,,0.157,0.104,29,90,54,10.4,1827,13073,,,,,,0.629,,,1.7,1.3,0.6,0.1,2934.0,0.289,0.068,0.048,0.2,0.1,1.3,35.2,1.6,34,0.1,,65,12.4,-0.049,1.5,1.4,0.068,1.0,,,,,,,,,0.6,,0.061,0.031,
62,BBC,2,2007,,,,,0.175,0.116,16,91,47,5.7,1661,12682,,,,,,0.74,,,2.8,1.6,0.7,0.064,2764.0,0.259,0.038,0.042,0.1,0.1,1.5,17.9,1.4,42,0.051,,59,22.8,-0.052,1.6,1.4,0.038,1.5,,,,,,,,,0.4,,-0.055,0.08,
63,BBC,1,2007,,,,,0.174,0.115,18,86,50,48.1,1562,11739,,,,,,0.733,,,2.7,2.5,1.6,0.235,2924.0,0.268,0.064,0.1,0.1,0.0,0.9,6.6,1.4,94,0.166,,54,20.4,-0.07,1.7,1.3,0.064,2.1,,,,,,,,,0.4,,-0.024,0.048,
64,BBC,4,2006,,,,,0.145,0.093,27,90,61,22.7,1264,11206,,,,,,0.712,,,2.5,2.3,1.4,0.344,2994.0,0.261,0.049,0.091,0.0,0.0,0.7,3.4,1.4,89,0.061,,55,13.6,-0.065,1.6,1.3,0.049,2.4,,,,,,,,,0.4,,,0.095,
65,BBC,3,2006,,,,,0.116,0.076,25,91,47,6.8,941,10230,,,,,,0.712,,,2.5,2.3,1.2,-0.019,,0.255,0.055,0.04,0.1,0.1,,35.2,1.4,81,0.077,,69,14.6,,1.7,1.3,0.055,0.9,,,,,,,,,0.4,,,0.609,
66,BBC,2,2006,,,,,0.162,0.091,18,99,40,2.4,958,6356,,,,,,0.554,,,1.2,1.3,0.4,0.015,,0.221,0.037,0.024,0.4,0.2,,66.4,1.8,25,0.051,,77,20.2,,1.9,1.3,0.037,0.8,,,,,,,,,0.8,,,0.015,
67,BBC,1,2006,,,,,0.162,0.09,20,99,48,,944,6261,,,,,,0.556,,,1.3,1.3,0.4,0.186,3341.0,0.267,0.078,0.057,0.3,0.2,1.3,41.1,1.8,25,0.093,,71,17.9,-0.041,1.9,1.3,0.078,0.9,,,,,,,,,0.8,,0.031,-0.002,
68,BBC,4,2005,,,,,0.138,0.073,30,101,64,8.6,796,6275,,,,,,0.544,,,1.2,1.3,0.5,0.033,3240.0,0.239,0.069,0.05,0.3,0.1,1.2,11.7,1.8,24,0.115,,68,12.0,-0.045,1.7,1.3,0.069,0.9,,,,,,,,,0.8,,0.198,0.052,
69,BBC,3,2005,,,,,0.136,0.076,24,100,52,6.6,770,5966,,,,,,0.567,,,1.3,1.3,0.5,0.132,2704.0,0.242,0.085,0.053,0.3,0.2,1.4,,1.8,23,0.138,,72,15.2,-0.046,1.7,1.3,0.085,0.8,,,,,,,,,0.8,,0.108,0.093,
70,BBC,2,2005,,,,,0.127,0.072,21,102,41,2.9,680,5459,,,,,,0.564,,,1.3,1.3,0.4,-0.013,2440.0,0.217,0.048,0.025,0.4,0.2,1.7,,1.8,19,0.06,,82,17.5,-0.047,1.7,1.3,0.048,0.7,,,,,,,,,0.8,,-0.009,0.013,
71,BBC,1,2005,,,,,0.131,0.071,23,107,50,6.5,689,5391,,,,,,0.56,,,1.3,1.3,0.4,0.159,2463.0,0.262,0.055,0.036,0.4,0.2,1.7,,1.8,19,0.058,,80,16.0,-0.007,1.7,1.3,0.055,0.9,,,,,,,,,0.8,,0.112,0.03,
72,BBC,4,2004,,,,,0.112,0.057,35,109,56,8.3,595,5233,,,,,,0.505,,,1.0,1.2,0.4,-0.378,2216.0,0.276,0.085,0.058,0.4,0.2,2.0,,2.0,15,0.093,,89,10.4,-0.003,1.5,1.3,0.085,0.9,,,,,,,,,1.0,,-0.19,-0.031,
73,BBC,3,2004,,,,,0.189,0.098,22,102,56,4.8,956,5399,,,,,,0.557,,,1.3,1.3,0.4,0.1,2737.0,0.27,0.066,0.041,0.4,0.2,1.5,,1.8,16,0.071,,69,16.5,-0.007,1.7,1.3,0.066,0.8,,,,,,,,,0.8,,0.09,0.03,
74,BBC,2,2004,,,,,0.174,0.09,22,104,56,2.9,870,5243,,,,,,0.57,,,1.3,1.2,0.4,0.047,2512.0,0.255,0.056,0.029,0.5,0.3,1.9,26.2,1.8,14,0.06,,70,16.8,-0.007,1.6,1.3,0.056,0.7,,,,,,,,,0.8,,0.151,0.016,
